predicted_label,true_label,prob_attack,confidence,traffic_density,risk_score,risk_level,true_is_attack
DoS GoldenEye,DoS GoldenEye,1.0,0.9982,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9974,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9951,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9949,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9956,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9954,0.0,71.06,High,True
DoS slowloris,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
PortScan,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9947,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
Web Attack - SQL Injection,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9993,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
PortScan,DoS GoldenEye,1.0,0.9978,0.0,71.06,High,True
Web Attack - SQL Injection,DoS GoldenEye,1.0,0.9233,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9964,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9953,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
SSH-Patator,DoS GoldenEye,1.0,0.9909,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.2016,0.0002,42.5,Medium,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.996,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9894,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9973,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9971,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9999,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9949,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9949,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0002,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9999,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9994,0.0,71.06,High,True
SSH-Patator,DoS GoldenEye,1.0,0.9933,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9975,0.0,71.06,High,True
Web Attack - SQL Injection,DoS GoldenEye,1.0,0.9208,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9996,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
SSH-Patator,DoS GoldenEye,1.0,0.9921,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9972,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
Web Attack - SQL Injection,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.985,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,1.0,0.0001,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.8714,0.0,71.06,High,True
DoS GoldenEye,DoS GoldenEye,1.0,0.9999,0.0002,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9777,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9999,0.0,71.06,High,True
PortScan,DoS Hulk,1.0,0.3394,0.0001,42.5,Medium,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.8962,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9786,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,1.0,0.001,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.535,0.0,42.5,Medium,True
DoS Hulk,DoS Hulk,1.0,0.9987,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9996,0.0036,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9965,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.8099,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9999,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9991,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9948,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.7503,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9776,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9834,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9847,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9971,0.005,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
Bot,DoS Hulk,1.0,0.7252,0.0,70.96,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9999,0.0307,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9962,0.0066,71.06,High,True
DDoS,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9981,0.0116,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.5389,0.0,42.5,Medium,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.7125,0.0,70.9,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9945,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9999,0.0028,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9978,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.8366,0.0001,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9999,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9316,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9767,0.0001,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9999,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9981,0.001,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9998,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9787,0.0001,71.06,High,True
DDoS,DoS Hulk,1.0,0.997,0.0063,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS slowloris,DoS Hulk,1.0,0.9981,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9916,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9974,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9996,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.977,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9976,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.9997,0.0065,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DDoS,DoS Hulk,1.0,0.7639,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9944,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9769,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9979,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9996,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9999,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9891,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.972,0.0002,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.3693,0.0,42.5,Medium,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9998,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9768,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9804,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS slowloris,DoS Hulk,1.0,0.9608,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,0.9997,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9786,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9788,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
FTP-Patator,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
SSH-Patator,DoS Hulk,1.0,0.9777,0.0,71.06,High,True
DoS Hulk,DoS Hulk,1.0,1.0,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
Web Attack - Brute Force,DoS Slowhttptest,1.0,1.0,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,1.0,1.0,92.22,Critical,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9713,0.0,71.06,High,True
BENIGN,DoS Slowhttptest,0.0379,0.9242,1.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,1.0,1.0,92.22,Critical,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9968,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9808,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9802,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9968,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9768,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9968,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,1.0,1.0,92.22,Critical,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9239,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9719,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9968,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,1.0,1.0,92.22,Critical,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.975,0.0,71.06,High,True
Web Attack - Brute Force,DoS Slowhttptest,1.0,1.0,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
BENIGN,DoS Slowhttptest,0.445,0.1213,0.808,42.5,Medium,True
Bot,DoS Slowhttptest,1.0,0.9993,0.0182,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.1508,0.0,42.5,Medium,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9999,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
BENIGN,DoS Slowhttptest,0.0388,0.9224,1.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9727,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,1.0,1.0,92.22,Critical,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9604,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9879,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9879,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9877,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.1987,0.0,42.5,Medium,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.4878,0.0,42.5,Medium,True
Bot,DoS Slowhttptest,1.0,1.0,0.4023,80.34,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9747,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9968,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9879,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
PortScan,DoS Slowhttptest,1.0,1.0,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.8095,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9797,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.1574,0.0,42.5,Medium,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.8543,0.0,71.06,High,True
Bot,DoS Slowhttptest,1.0,0.9994,0.0412,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9802,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9999,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9729,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9878,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9878,0.0,71.06,High,True
PortScan,DoS Slowhttptest,1.0,1.0,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9878,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9878,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,0.9973,0.9185,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9811,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
Bot,DoS Slowhttptest,1.0,0.9997,0.0008,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9822,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS Slowhttptest,DoS Slowhttptest,1.0,0.9654,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
Bot,DoS Slowhttptest,1.0,0.9997,0.0027,71.06,High,True
DoS slowloris,DoS Slowhttptest,1.0,0.9995,0.0,71.06,High,True
DoS GoldenEye,DoS Slowhttptest,1.0,0.9879,0.0,71.06,High,True
